Team,Year,Conference,Subdivision
Tennessee,1983, Southeastern Conference,Division I-A
Texas,1983, Southwest Conference,Division I-A
Texas A&M,1983, Southwest Conference,Division I-A
Texas Christian,1983, Southwest Conference,Division I-A
Texas St.,1983, Lone Star Conference,Division II
Texas Tech,1983, Southwest Conference,Division I-A
Texas-El Paso,1983, Western Athletic Conference,Division I-A
Toledo (OH),1983, Mid-American Conference,Division I-A
Troy (AL),1983, Gulf South Conference,Division II
Tulane (LA),1983, Division I-A Independent,Division I-A
Tulsa (OK),1983, Missouri Valley Conference,Division I-A
UCLA,1983, Pacific-12 Conference,Division I-A
Utah,1983, Western Athletic Conference,Division I-A
Utah St.,1983, Big West Conference,Division I-A
Vanderbilt (TN),1983, Southeastern Conference,Division I-A
Virginia,1983, Atlantic Coast Conference,Division I-A
Virginia Tech,1983, Division I-A Independent,Division I-A
Wake Forest (NC),1983, Atlantic Coast Conference,Division I-A
Washington,1983, Pacific-12 Conference,Division I-A
Washington St.,1983, Pacific-12 Conference,Division I-A
West Virginia,1983, Division I-A Independent,Division I-A
Western Kentucky,1983, Division I-AA Independent,Division I-AA
Western Michigan,1983, Mid-American Conference,Division I-A
Wisconsin,1983, Big Ten Conference,Division I-A
Wyoming,1983, Western Athletic Conference,Division I-A
Air Force (CO),1984, Western Athletic Conference,Division I-A
Akron (OH),1984, Ohio Valley Conference,Division I-AA
Alabama,1984, Southeastern Conference,Division I-A
Appalachian St. (NC),1984, Southern Conference,Division I-AA
Arizona,1984, Pacific-12 Conference,Division I-A
Arizona St.,1984, Pacific-12 Conference,Division I-A
Arkansas,1984, Southwest Conference,Division I-A
Arkansas St.,1984, Southland Conference,Division I-AA
Army (NY),1984, Division I-A Independent,Division I-A
Auburn (AL),1984, Southeastern Conference,Division I-A
Ball St. (IN),1984, Mid-American Conference,Division I-A
Baylor (TX),1984, Southwest Conference,Division I-A
Boise St. (ID),1984, Big Sky Conference,Division I-AA
Boston College (MA),1984, Division I-A Independent,Division I-A
Bowling Green (OH),1984, Mid-American Conference,Division I-A
Brigham Young (UT),1984, Western Athletic Conference,Division I-A
Buffalo (NY),1984, Division III Independent,Division III
California,1984, Pacific-12 Conference,Division I-A
Central Florida,1984, Division II Independent,Division II
Central Michigan,1984, Mid-American Conference,Division I-A
Cincinnati (OH),1984, Division I-A Independent,Division I-A
Clemson (SC),1984, Atlantic Coast Conference,Division I-A
Colorado,1984, Big Eight Conference,Division I-A
Colorado St.,1984, Western Athletic Conference,Division I-A
Connecticut,1984, Yankee Conference,Division I-AA
Duke (NC),1984, Atlantic Coast Conference,Division I-A
East Carolina (NC),1984, Division I-A Independent,Division I-A
Eastern Michigan,1984, Mid-American Conference,Division I-A
Florida,1984, Southeastern Conference,Division I-A
Florida St.,1984, Division I-A Independent,Division I-A
Fresno St. (CA),1984, Big West Conference,Division I-A
Georgia,1984, Southeastern Conference,Division I-A
Georgia Southern,1984, Division I-AA Independent,Division I-AA
Georgia Tech,1984, Atlantic Coast Conference,Division I-A
Hawaii,1984, Western Athletic Conference,Division I-A
Houston (TX),1984, Southwest Conference,Division I-A
Idaho,1984, Big Sky Conference,Division I-AA
Illinois,1984, Big Ten Conference,Division I-A
Indiana,1984, Big Ten Conference,Division I-A
Iowa,1984, Big Ten Conference,Division I-A
Iowa St.,1984, Big Eight Conference,Division I-A
Kansas,1984, Big Eight Conference,Division I-A
Kansas St.,1984, Big Eight Conference,Division I-A
Kent St. (OH),1984, Mid-American Conference,Division I-A
Kentucky,1984, Southeastern Conference,Division I-A
Louisiana St.,1984, Southeastern Conference,Division I-A
Louisiana Tech,1984, Southland Conference,Division I-AA
Louisiana-Lafayette,1984, Division I-A Independent,Division I-A
Louisiana-Monroe,1984, Southland Conference,Division I-AA
Louisville (KY),1984, Division I-A Independent,Division I-A
Marshall (WV),1984, Southern Conference,Division I-AA
Maryland,1984, Atlantic Coast Conference,Division I-A
Massachusetts,1984, Yankee Conference,Division I-AA
Memphis (TN),1984, Division I-A Independent,Division I-A
Miami (FL),1984, Division I-A Independent,Division I-A
Miami (OH),1984, Mid-American Conference,Division I-A
Michigan,1984, Big Ten Conference,Division I-A
Michigan St.,1984, Big Ten Conference,Division I-A
Middle Tennessee St.,1984, Ohio Valley Conference,Division I-AA
Minnesota,1984, Big Ten Conference,Division I-A
Mississippi,1984, Southeastern Conference,Division I-A
Mississippi St.,1984, Southeastern Conference,Division I-A
Missouri,1984, Big Eight Conference,Division I-A
Navy (MD),1984, Division I-A Independent,Division I-A
Nebraska,1984, Big Eight Conference,Division I-A
Nevada,1984, Big Sky Conference,Division I-AA
Nevada-Las Vegas,1984, Big West Conference,Division I-A
New Mexico,1984, Western Athletic Conference,Division I-A
New Mexico St.,1984, Big West Conference,Division I-A
North Carolina,1984, Atlantic Coast Conference,Division I-A
North Carolina St.,1984, Atlantic Coast Conference,Division I-A
North Texas,1984, Southland Conference,Division I-AA
Northern Illinois,1984, Mid-American Conference,Division I-A
Northwestern (IL),1984, Big Ten Conference,Division I-A
Notre Dame (IN),1984, Division I-A Independent,Division I-A
Ohio,1984, Mid-American Conference,Division I-A
Ohio St.,1984, Big Ten Conference,Division I-A
Oklahoma,1984, Big Eight Conference,Division I-A
Oklahoma St.,1984, Big Eight Conference,Division I-A
Oregon,1984, Pacific-12 Conference,Division I-A
Oregon St.,1984, Pacific-12 Conference,Division I-A
Penn St.,1984, Division I-A Independent,Division I-A
Pittsburgh (PA),1984, Division I-A Independent,Division I-A
Purdue (IN),1984, Big Ten Conference,Division I-A
Rice (TX),1984, Southwest Conference,Division I-A
Rutgers (NJ),1984, Division I-A Independent,Division I-A
San Diego St. (CA),1984, Western Athletic Conference,Division I-A
San Jose St. (CA),1984, Big West Conference,Division I-A
South Carolina,1984, Division I-A Independent,Division I-A
Southern California,1984, Pacific-12 Conference,Division I-A
Southern Methodist (TX),1984, Southwest Conference,Division I-A
Southern Mississippi,1984, Division I-A Independent,Division I-A
Stanford (CA),1984, Pacific-12 Conference,Division I-A
Syracuse (NY),1984, Division I-A Independent,Division I-A
Temple (PA),1984, Division I-A Independent,Division I-A
Tennessee,1984, Southeastern Conference,Division I-A
Texas,1984, Southwest Conference,Division I-A
Texas A&M,1984, Southwest Conference,Division I-A
Texas Christian,1984, Southwest Conference,Division I-A
Texas St.,1984, Gulf Star Conference,Division I-AA
Texas Tech,1984, Southwest Conference,Division I-A
Texas-El Paso,1984, Western Athletic Conference,Division I-A
Toledo (OH),1984, Mid-American Conference,Division I-A
Troy (AL),1984, Gulf South Conference,Division II
Tulane (LA),1984, Division I-A Independent,Division I-A
Tulsa (OK),1984, Missouri Valley Conference,Division I-A
UCLA,1984, Pacific-12 Conference,Division I-A
Utah,1984, Western Athletic Conference,Division I-A
Utah St.,1984, Big West Conference,Division I-A
Vanderbilt (TN),1984, Southeastern Conference,Division I-A
Virginia,1984, Atlantic Coast Conference,Division I-A
Virginia Tech,1984, Division I-A Independent,Division I-A
Wake Forest (NC),1984, Atlantic Coast Conference,Division I-A
Washington,1984, Pacific-12 Conference,Division I-A
Washington St.,1984, Pacific-12 Conference,Division I-A
West Virginia,1984, Division I-A Independent,Division I-A
Western Kentucky,1984, Division I-AA Independent,Division I-AA
Western Michigan,1984, Mid-American Conference,Division I-A
Wisconsin,1984, Big Ten Conference,Division I-A
Wyoming,1984, Western Athletic Conference,Division I-A
Air Force (CO),1985, Western Athletic Conference,Division I-A
Akron (OH),1985, Ohio Valley Conference,Division I-AA
Alabama,1985, Southeastern Conference,Division I-A
Appalachian St. (NC),1985, Southern Conference,Division I-AA
Arizona,1985, Pacific-12 Conference,Division I-A
Arizona St.,1985, Pacific-12 Conference,Division I-A
Arkansas,1985, Southwest Conference,Division I-A
Arkansas St.,1985, Southland Conference,Division I-AA
Army (NY),1985, Division I-A Independent,Division I-A
Auburn (AL),1985, Southeastern Conference,Division I-A
Ball St. (IN),1985, Mid-American Conference,Division I-A
Baylor (TX),1985, Southwest Conference,Division I-A
Boise St. (ID),1985, Big Sky Conference,Division I-AA
Boston College (MA),1985, Division I-A Independent,Division I-A
Bowling Green (OH),1985, Mid-American Conference,Division I-A
Brigham Young (UT),1985, Western Athletic Conference,Division I-A
Buffalo (NY),1985, Division III Independent,Division III
California,1985, Pacific-12 Conference,Division I-A
Central Florida,1985, Division II Independent,Division II
Central Michigan,1985, Mid-American Conference,Division I-A
Cincinnati (OH),1985, Division I-A Independent,Division I-A
Clemson (SC),1985, Atlantic Coast Conference,Division I-A
Colorado,1985, Big Eight Conference,Division I-A
Colorado St.,1985, Western Athletic Conference,Division I-A
Connecticut,1985, Yankee Conference,Division I-AA
Duke (NC),1985, Atlantic Coast Conference,Division I-A
East Carolina (NC),1985, Division I-A Independent,Division I-A
Eastern Michigan,1985, Mid-American Conference,Division I-A
Florida,1985, Southeastern Conference,Division I-A
Florida St.,1985, Division I-A Independent,Division I-A
Fresno St. (CA),1985, Big West Conference,Division I-A
Georgia,1985, Southeastern Conference,Division I-A
Georgia Southern,1985, Division I-AA Independent,Division I-AA
Georgia Tech,1985, Atlantic Coast Conference,Division I-A
Hawaii,1985, Western Athletic Conference,Division I-A
Houston (TX),1985, Southwest Conference,Division I-A
Idaho,1985, Big Sky Conference,Division I-AA
Illinois,1985, Big Ten Conference,Division I-A
Indiana,1985, Big Ten Conference,Division I-A
Iowa,1985, Big Ten Conference,Division I-A
Iowa St.,1985, Big Eight Conference,Division I-A
Kansas,1985, Big Eight Conference,Division I-A
Kansas St.,1985, Big Eight Conference,Division I-A
Kent St. (OH),1985, Mid-American Conference,Division I-A
Kentucky,1985, Southeastern Conference,Division I-A
Louisiana St.,1985, Southeastern Conference,Division I-A
Louisiana Tech,1985, Southland Conference,Division I-AA
Louisiana-Lafayette,1985, Division I-A Independent,Division I-A
Louisiana-Monroe,1985, Southland Conference,Division I-AA
Louisville (KY),1985, Division I-A Independent,Division I-A
Marshall (WV),1985, Southern Conference,Division I-AA
Maryland,1985, Atlantic Coast Conference,Division I-A
Massachusetts,1985, Yankee Conference,Division I-AA
Memphis (TN),1985, Division I-A Independent,Division I-A
Miami (FL),1985, Division I-A Independent,Division I-A
Miami (OH),1985, Mid-American Conference,Division I-A
Michigan,1985, Big Ten Conference,Division I-A
Michigan St.,1985, Big Ten Conference,Division I-A
Middle Tennessee St.,1985, Ohio Valley Conference,Division I-AA
Minnesota,1985, Big Ten Conference,Division I-A
Mississippi,1985, Southeastern Conference,Division I-A
Mississippi St.,1985, Southeastern Conference,Division I-A
Missouri,1985, Big Eight Conference,Division I-A
Navy (MD),1985, Division I-A Independent,Division I-A
Nebraska,1985, Big Eight Conference,Division I-A
Nevada,1985, Big Sky Conference,Division I-AA
Nevada-Las Vegas,1985, Big West Conference,Division I-A
New Mexico,1985, Western Athletic Conference,Division I-A
New Mexico St.,1985, Big West Conference,Division I-A
North Carolina,1985, Atlantic Coast Conference,Division I-A
North Carolina St.,1985, Atlantic Coast Conference,Division I-A
North Texas,1985, Southland Conference,Division I-AA
Northern Illinois,1985, Mid-American Conference,Division I-A
Northwestern (IL),1985, Big Ten Conference,Division I-A
Notre Dame (IN),1985, Division I-A Independent,Division I-A
Ohio,1985, Mid-American Conference,Division I-A
Ohio St.,1985, Big Ten Conference,Division I-A
Oklahoma,1985, Big Eight Conference,Division I-A
Oklahoma St.,1985, Big Eight Conference,Division I-A
Oregon,1985, Pacific-12 Conference,Division I-A
Oregon St.,1985, Pacific-12 Conference,Division I-A
Penn St.,1985, Division I-A Independent,Division I-A
Pittsburgh (PA),1985, Division I-A Independent,Division I-A
Purdue (IN),1985, Big Ten Conference,Division I-A
Rice (TX),1985, Southwest Conference,Division I-A
Rutgers (NJ),1985, Division I-A Independent,Division I-A
San Diego St. (CA),1985, Western Athletic Conference,Division I-A
San Jose St. (CA),1985, Big West Conference,Division I-A
South Carolina,1985, Division I-A Independent,Division I-A
Southern California,1985, Pacific-12 Conference,Division I-A
Southern Methodist (TX),1985, Southwest Conference,Division I-A
Southern Mississippi,1985, Division I-A Independent,Division I-A
Stanford (CA),1985, Pacific-12 Conference,Division I-A
Syracuse (NY),1985, Division I-A Independent,Division I-A
Temple (PA),1985, Division I-A Independent,Division I-A
Tennessee,1985, Southeastern Conference,Division I-A
Texas,1985, Southwest Conference,Division I-A
Texas A&M,1985, Southwest Conference,Division I-A
Texas Christian,1985, Southwest Conference,Division I-A
Texas St.,1985, Gulf Star Conference,Division I-AA
Texas Tech,1985, Southwest Conference,Division I-A
Texas-El Paso,1985, Western Athletic Conference,Division I-A
Toledo (OH),1985, Mid-American Conference,Division I-A
Troy (AL),1985, Gulf South Conference,Division II
Tulane (LA),1985, Division I-A Independent,Division I-A
Tulsa (OK),1985, Missouri Valley Conference,Division I-A
UCLA,1985, Pacific-12 Conference,Division I-A
Utah,1985, Western Athletic Conference,Division I-A
Utah St.,1985, Big West Conference,Division I-A
Vanderbilt (TN),1985, Southeastern Conference,Division I-A
Virginia,1985, Atlantic Coast Conference,Division I-A
Virginia Tech,1985, Division I-A Independent,Division I-A
Wake Forest (NC),1985, Atlantic Coast Conference,Division I-A
Washington,1985, Pacific-12 Conference,Division I-A
Washington St.,1985, Pacific-12 Conference,Division I-A
West Virginia,1985, Division I-A Independent,Division I-A
Western Kentucky,1985, Division I-AA Independent,Division I-AA
Western Michigan,1985, Mid-American Conference,Division I-A
Wisconsin,1985, Big Ten Conference,Division I-A
Wyoming,1985, Western Athletic Conference,Division I-A
Air Force (CO),1986, Western Athletic Conference,Division I-A
Akron (OH),1986, Ohio Valley Conference,Division I-AA
Alabama,1986, Southeastern Conference,Division I-A
Appalachian St. (NC),1986, Southern Conference,Division I-AA
Arizona,1986, Pacific-12 Conference,Division I-A
Arizona St.,1986, Pacific-12 Conference,Division I-A
Arkansas,1986, Southwest Conference,Division I-A
Arkansas St.,1986, Southland Conference,Division I-AA
Army (NY),1986, Division I-A Independent,Division I-A
Auburn (AL),1986, Southeastern Conference,Division I-A
Ball St. (IN),1986, Mid-American Conference,Division I-A
Baylor (TX),1986, Southwest Conference,Division I-A
Boise St. (ID),1986, Big Sky Conference,Division I-AA
Boston College (MA),1986, Division I-A Independent,Division I-A
Bowling Green (OH),1986, Mid-American Conference,Division I-A
Brigham Young (UT),1986, Western Athletic Conference,Division I-A
Buffalo (NY),1986, Division III Independent,Division III
California,1986, Pacific-12 Conference,Division I-A
Central Florida,1986, Division II Independent,Division II
Central Michigan,1986, Mid-American Conference,Division I-A
Cincinnati (OH),1986, Division I-A Independent,Division I-A
Clemson (SC),1986, Atlantic Coast Conference,Division I-A
Colorado,1986, Big Eight Conference,Division I-A
Colorado St.,1986, Western Athletic Conference,Division I-A
Connecticut,1986, Yankee Conference,Division I-AA
Duke (NC),1986, Atlantic Coast Conference,Division I-A
East Carolina (NC),1986, Division I-A Independent,Division I-A
Eastern Michigan,1986, Mid-American Conference,Division I-A
Florida,1986, Southeastern Conference,Division I-A
Florida St.,1986, Division I-A Independent,Division I-A
Fresno St. (CA),1986, Big West Conference,Division I-A
Georgia,1986, Southeastern Conference,Division I-A
Georgia Southern,1986, Division I-AA Independent,Division I-AA
Georgia Tech,1986, Atlantic Coast Conference,Division I-A
Hawaii,1986, Western Athletic Conference,Division I-A
Houston (TX),1986, Southwest Conference,Division I-A
Idaho,1986, Big Sky Conference,Division I-AA
Illinois,1986, Big Ten Conference,Division I-A
Indiana,1986, Big Ten Conference,Division I-A
Iowa,1986, Big Ten Conference,Division I-A
Iowa St.,1986, Big Eight Conference,Division I-A
Kansas,1986, Big Eight Conference,Division I-A
Kansas St.,1986, Big Eight Conference,Division I-A
Kent St. (OH),1986, Mid-American Conference,Division I-A
Kentucky,1986, Southeastern Conference,Division I-A
Louisiana St.,1986, Southeastern Conference,Division I-A
Louisiana Tech,1986, Southland Conference,Division I-AA
Louisiana-Lafayette,1986, Division I-A Independent,Division I-A
Louisiana-Monroe,1986, Southland Conference,Division I-AA
Louisville (KY),1986, Division I-A Independent,Division I-A
Marshall (WV),1986, Southern Conference,Division I-AA
Maryland,1986, Atlantic Coast Conference,Division I-A
Massachusetts,1986, Yankee Conference,Division I-AA
Memphis (TN),1986, Division I-A Independent,Division I-A
Miami (FL),1986, Division I-A Independent,Division I-A
Miami (OH),1986, Mid-American Conference,Division I-A
Michigan,1986, Big Ten Conference,Division I-A
Michigan St.,1986, Big Ten Conference,Division I-A
Middle Tennessee St.,1986, Ohio Valley Conference,Division I-AA
Minnesota,1986, Big Ten Conference,Division I-A
Mississippi,1986, Southeastern Conference,Division I-A
Mississippi St.,1986, Southeastern Conference,Division I-A
Missouri,1986, Big Eight Conference,Division I-A
Navy (MD),1986, Division I-A Independent,Division I-A
Nebraska,1986, Big Eight Conference,Division I-A
Nevada,1986, Big Sky Conference,Division I-AA
Nevada-Las Vegas,1986, Big West Conference,Division I-A
New Mexico,1986, Western Athletic Conference,Division I-A
New Mexico St.,1986, Big West Conference,Division I-A
North Carolina,1986, Atlantic Coast Conference,Division I-A
North Carolina St.,1986, Atlantic Coast Conference,Division I-A
North Texas,1986, Southland Conference,Division I-AA
Northern Illinois,1986, Division I-A Independent,Division I-A
Northwestern (IL),1986, Big Ten Conference,Division I-A
Notre Dame (IN),1986, Division I-A Independent,Division I-A
Ohio,1986, Mid-American Conference,Division I-A
Ohio St.,1986, Big Ten Conference,Division I-A
Oklahoma,1986, Big Eight Conference,Division I-A
Oklahoma St.,1986, Big Eight Conference,Division I-A
Oregon,1986, Pacific-12 Conference,Division I-A
Oregon St.,1986, Pacific-12 Conference,Division I-A
Penn St.,1986, Division I-A Independent,Division I-A
Pittsburgh (PA),1986, Division I-A Independent,Division I-A
Purdue (IN),1986, Big Ten Conference,Division I-A
Rice (TX),1986, Southwest Conference,Division I-A
Rutgers (NJ),1986, Division I-A Independent,Division I-A
San Diego St. (CA),1986, Western Athletic Conference,Division I-A
San Jose St. (CA),1986, Big West Conference,Division I-A
South Carolina,1986, Division I-A Independent,Division I-A
Southern California,1986, Pacific-12 Conference,Division I-A
Southern Methodist (TX),1986, Southwest Conference,Division I-A
Southern Mississippi,1986, Division I-A Independent,Division I-A
Stanford (CA),1986, Pacific-12 Conference,Division I-A
Syracuse (NY),1986, Division I-A Independent,Division I-A
Temple (PA),1986, Division I-A Independent,Division I-A
Tennessee,1986, Southeastern Conference,Division I-A
Texas,1986, Southwest Conference,Division I-A
Texas A&M,1986, Southwest Conference,Division I-A
Texas Christian,1986, Southwest Conference,Division I-A
Texas St.,1986, Gulf Star Conference,Division I-AA
Texas Tech,1986, Southwest Conference,Division I-A
Texas-El Paso,1986, Western Athletic Conference,Division I-A
Toledo (OH),1986, Mid-American Conference,Division I-A
Troy (AL),1986, Gulf South Conference,Division II
Tulane (LA),1986, Division I-A Independent,Division I-A
Tulsa (OK),1986, Division I-A Independent,Division I-A
UCLA,1986, Pacific-12 Conference,Division I-A
Utah,1986, Western Athletic Conference,Division I-A
Utah St.,1986, Big West Conference,Division I-A
Vanderbilt (TN),1986, Southeastern Conference,Division I-A
Virginia,1986, Atlantic Coast Conference,Division I-A
Virginia Tech,1986, Division I-A Independent,Division I-A
Wake Forest (NC),1986, Atlantic Coast Conference,Division I-A
Washington,1986, Pacific-12 Conference,Division I-A
Washington St.,1986, Pacific-12 Conference,Division I-A
West Virginia,1986, Division I-A Independent,Division I-A
Western Kentucky,1986, Division I-AA Independent,Division I-AA
Western Michigan,1986, Mid-American Conference,Division I-A
Wisconsin,1986, Big Ten Conference,Division I-A
Wyoming,1986, Western Athletic Conference,Division I-A
Air Force (CO),1987, Western Athletic Conference,Division I-A
Akron (OH),1987, Division I-A Independent,Division I-A
Alabama,1987, Southeastern Conference,Division I-A
Appalachian St. (NC),1987, Southern Conference,Division I-AA
Arizona,1987, Pacific-12 Conference,Division I-A
Arizona St.,1987, Pacific-12 Conference,Division I-A
Arkansas,1987, Southwest Conference,Division I-A
Arkansas St.,1987, Division I-AA Independent,Division I-AA
Army (NY),1987, Division I-A Independent,Division I-A
Auburn (AL),1987, Southeastern Conference,Division I-A
Ball St. (IN),1987, Mid-American Conference,Division I-A
Baylor (TX),1987, Southwest Conference,Division I-A
Boise St. (ID),1987, Big Sky Conference,Division I-AA
Boston College (MA),1987, Division I-A Independent,Division I-A
Bowling Green (OH),1987, Mid-American Conference,Division I-A
Brigham Young (UT),1987, Western Athletic Conference,Division I-A
Buffalo (NY),1987, Division III Independent,Division III
California,1987, Pacific-12 Conference,Division I-A
Central Florida,1987, Division II Independent,Division II
Central Michigan,1987, Mid-American Conference,Division I-A
Cincinnati (OH),1987, Division I-A Independent,Division I-A
Clemson (SC),1987, Atlantic Coast Conference,Division I-A
Colorado,1987, Big Eight Conference,Division I-A
Colorado St.,1987, Western Athletic Conference,Division I-A
Connecticut,1987, Yankee Conference,Division I-AA
Duke (NC),1987, Atlantic Coast Conference,Division I-A
East Carolina (NC),1987, Division I-A Independent,Division I-A
Eastern Michigan,1987, Mid-American Conference,Division I-A
Florida,1987, Southeastern Conference,Division I-A
Florida St.,1987, Division I-A Independent,Division I-A
Fresno St. (CA),1987, Big West Conference,Division I-A
Georgia,1987, Southeastern Conference,Division I-A
Georgia Southern,1987, Division I-AA Independent,Division I-AA
Georgia Tech,1987, Atlantic Coast Conference,Division I-A
Hawaii,1987, Western Athletic Conference,Division I-A
Houston (TX),1987, Southwest Conference,Division I-A
Idaho,1987, Big Sky Conference,Division I-AA
Illinois,1987, Big Ten Conference,Division I-A
Indiana,1987, Big Ten Conference,Division I-A
Iowa,1987, Big Ten Conference,Division I-A
Iowa St.,1987, Big Eight Conference,Division I-A
Kansas,1987, Big Eight Conference,Division I-A
Kansas St.,1987, Big Eight Conference,Division I-A
Kent St. (OH),1987, Mid-American Conference,Division I-A
Kentucky,1987, Southeastern Conference,Division I-A
Louisiana St.,1987, Southeastern Conference,Division I-A
Louisiana Tech,1987, Division I-AA Independent,Division I-AA
Louisiana-Lafayette,1987, Division I-A Independent,Division I-A
Louisiana-Monroe,1987, Southland Conference,Division I-AA
Louisville (KY),1987, Division I-A Independent,Division I-A
Marshall (WV),1987, Southern Conference,Division I-AA
Maryland,1987, Atlantic Coast Conference,Division I-A
Massachusetts,1987, Yankee Conference,Division I-AA
Memphis (TN),1987, Division I-A Independent,Division I-A
Miami (FL),1987, Division I-A Independent,Division I-A
Miami (OH),1987, Mid-American Conference,Division I-A
Michigan,1987, Big Ten Conference,Division I-A
Michigan St.,1987, Big Ten Conference,Division I-A
Middle Tennessee St.,1987, Ohio Valley Conference,Division I-AA
Minnesota,1987, Big Ten Conference,Division I-A
Mississippi,1987, Southeastern Conference,Division I-A
Mississippi St.,1987, Southeastern Conference,Division I-A
Missouri,1987, Big Eight Conference,Division I-A
Navy (MD),1987, Division I-A Independent,Division I-A
Nebraska,1987, Big Eight Conference,Division I-A
Nevada,1987, Big Sky Conference,Division I-AA
Nevada-Las Vegas,1987, Big West Conference,Division I-A
New Mexico,1987, Western Athletic Conference,Division I-A
New Mexico St.,1987, Big West Conference,Division I-A
North Carolina,1987, Atlantic Coast Conference,Division I-A
North Carolina St.,1987, Atlantic Coast Conference,Division I-A
North Texas,1987, Southland Conference,Division I-AA
Northern Illinois,1987, Division I-A Independent,Division I-A
Northwestern (IL),1987, Big Ten Conference,Division I-A
Notre Dame (IN),1987, Division I-A Independent,Division I-A
Ohio,1987, Mid-American Conference,Division I-A
Ohio St.,1987, Big Ten Conference,Division I-A
Oklahoma,1987, Big Eight Conference,Division I-A
Oklahoma St.,1987, Big Eight Conference,Division I-A
Oregon,1987, Pacific-12 Conference,Division I-A
Oregon St.,1987, Pacific-12 Conference,Division I-A
Penn St.,1987, Division I-A Independent,Division I-A
Pittsburgh (PA),1987, Division I-A Independent,Division I-A
Purdue (IN),1987, Big Ten Conference,Division I-A
Rice (TX),1987, Southwest Conference,Division I-A
Rutgers (NJ),1987, Division I-A Independent,Division I-A
San Diego St. (CA),1987, Western Athletic Conference,Division I-A
San Jose St. (CA),1987, Big West Conference,Division I-A
South Carolina,1987, Division I-A Independent,Division I-A
Southern California,1987, Pacific-12 Conference,Division I-A
Southern Methodist (TX),1987, Southwest Conference,Division I-A
Southern Mississippi,1987, Division I-A Independent,Division I-A
Stanford (CA),1987, Pacific-12 Conference,Division I-A
Syracuse (NY),1987, Division I-A Independent,Division I-A
Temple (PA),1987, Division I-A Independent,Division I-A
Tennessee,1987, Southeastern Conference,Division I-A
Texas,1987, Southwest Conference,Division I-A
Texas A&M,1987, Southwest Conference,Division I-A
Texas Christian,1987, Southwest Conference,Division I-A
Texas St.,1987, Southland Conference,Division I-AA
Texas Tech,1987, Southwest Conference,Division I-A
Texas-El Paso,1987, Western Athletic Conference,Division I-A
Toledo (OH),1987, Mid-American Conference,Division I-A
Troy (AL),1987, Gulf South Conference,Division II
Tulane (LA),1987, Division I-A Independent,Division I-A
Tulsa (OK),1987, Division I-A Independent,Division I-A
UCLA,1987, Pacific-12 Conference,Division I-A
Utah,1987, Western Athletic Conference,Division I-A
Utah St.,1987, Big West Conference,Division I-A
Vanderbilt (TN),1987, Southeastern Conference,Division I-A
Virginia,1987, Atlantic Coast Conference,Division I-A
Virginia Tech,1987, Division I-A Independent,Division I-A
Wake Forest (NC),1987, Atlantic Coast Conference,Division I-A
Washington,1987, Pacific-12 Conference,Division I-A
Washington St.,1987, Pacific-12 Conference,Division I-A
West Virginia,1987, Division I-A Independent,Division I-A
Western Kentucky,1987, Division I-AA Independent,Division I-AA
Western Michigan,1987, Mid-American Conference,Division I-A
Wisconsin,1987, Big Ten Conference,Division I-A
Wyoming,1987, Western Athletic Conference,Division I-A
Air Force (CO),1988, Western Athletic Conference,Division I-A
Akron (OH),1988, Division I-A Independent,Division I-A
Alabama,1988, Southeastern Conference,Division I-A
Appalachian St. (NC),1988, Southern Conference,Division I-AA
Arizona,1988, Pacific-12 Conference,Division I-A
Arizona St.,1988, Pacific-12 Conference,Division I-A
Arkansas,1988, Southwest Conference,Division I-A
Arkansas St.,1988, Division I-AA Independent,Division I-AA
Army (NY),1988, Division I-A Independent,Division I-A
Auburn (AL),1988, Southeastern Conference,Division I-A
Ball St. (IN),1988, Mid-American Conference,Division I-A
Baylor (TX),1988, Southwest Conference,Division I-A
Boise St. (ID),1988, Big Sky Conference,Division I-AA
Boston College (MA),1988, Division I-A Independent,Division I-A
Bowling Green (OH),1988, Mid-American Conference,Division I-A
Brigham Young (UT),1988, Western Athletic Conference,Division I-A
Buffalo (NY),1988, Division III Independent,Division III
California,1988, Pacific-12 Conference,Division I-A
Central Florida,1988, Division II Independent,Division II
Central Michigan,1988, Mid-American Conference,Division I-A
Cincinnati (OH),1988, Division I-A Independent,Division I-A
Clemson (SC),1988, Atlantic Coast Conference,Division I-A
Colorado,1988, Big Eight Conference,Division I-A
Colorado St.,1988, Western Athletic Conference,Division I-A
Connecticut,1988, Yankee Conference,Division I-AA
Duke (NC),1988, Atlantic Coast Conference,Division I-A
East Carolina (NC),1988, Division I-A Independent,Division I-A
Eastern Michigan,1988, Mid-American Conference,Division I-A
Florida,1988, Southeastern Conference,Division I-A
Florida St.,1988, Division I-A Independent,Division I-A
Fresno St. (CA),1988, Big West Conference,Division I-A
Georgia,1988, Southeastern Conference,Division I-A
Georgia Southern,1988, Division I-AA Independent,Division I-AA
Georgia Tech,1988, Atlantic Coast Conference,Division I-A
Hawaii,1988, Western Athletic Conference,Division I-A
Houston (TX),1988, Southwest Conference,Division I-A
Idaho,1988, Big Sky Conference,Division I-AA
Illinois,1988, Big Ten Conference,Division I-A
Indiana,1988, Big Ten Conference,Division I-A
Iowa,1988, Big Ten Conference,Division I-A
Iowa St.,1988, Big Eight Conference,Division I-A
Kansas,1988, Big Eight Conference,Division I-A
